node,count,star,friends
nT9TdWPDy7vAu13CetfNYg,81,3.49,75
BdSFx_Ful0fyTj4R2CD0CA,208,3.76,17
aPcB5aPjxCh3N-CJ2YUHVg,326,4.04,484
4pj9WUpYzu93GB6sr0SSGw,15,3.67,65
yDVohW6HN8SotRQEXkNchA,89,3.72,28
0zRLjgw0PQUwqiUCOIgShQ,535,3.81,1613
tipQmXdg181T4NvxrXPjFg,183,3.52,3008
e0tT0RlqHictBidCUjp2vA,27,3.68,40
bo_ZzmqxtIJpGWxXgvEPiQ,28,4,35
dXQnxYK-s5Ikf-ZO0dShWg,72,4.11,763
Z7OLAuxDlzeKwGeV1p9EKQ,5,3.8,84
juNenpxI4o6-9IXtgHoFag,16,3.94,53
xTD8-y-o555QS2zD7uAotA,1,5,30
a_jH1ewLLYzEfPnKjE66DQ,670,3.75,153
V-3L8MrRqF7OeeqpHfboYA,192,4.29,85
w3CvC3yeKgiZ7xxlo_gbXw,3,3.67,100
EiMaydGgNzj82ef8Hzb1kQ,370,3.88,2191
9kg8w0hS12zvoXuRXhqqtQ,46,4.74,644
wK2xhCFqZvzxUyt7FvhOdg,352,3.76,207
SGUGJxqdiaDTh87NQal5FA,20,3.55,5
WovNFJRjlFgbjubXmGEPNQ,6,4.67,21
zDmZ3--DU1s-uvbBdgJ-hQ,310,4.21,266
PNzFq4E7ngAN4z9gEJVmTA,8,3.13,212
h0PNDrTURhJTBE9DJrmxPg,17,4.18,1
cVbxP4y3F0UT3HYdrK6P7g,12,3.58,52
Eg0GKgsUQQFWhuWwOWce-Q,120,4.01,367
_S9lRxdXzUO3Sz_cViw_8g,156,3.74,40
4HdArh7ETM2WUlzxJQiBug,171,3.55,58
lf1m4CbheuUR7fFZoLGRvA,1126,3.86,2778
HQF0jsricHg6n35DXjvh3w,98,3.98,571
XES7_GcWW_qK3VTJg1Bztg,6,4.33,132
0fvlD3__CFMWLnkaOSSZ9g,54,3.8,38
oyQ_k3FXk-oA5DIGS1uYKg,286,4.01,115
BgZwJBhVWKq1Urs4rKBdiA,1545,3.51,912
ACUVZ4SiN0gni7dzVDm9EQ,2093,4.11,6114
lzHgSKT2SKAQrtm2uasNSQ,241,3.53,118
Agbv8YDkOE7V_ZfJseLVOA,403,4.13,1641
rDqapmGz04gIUH-mecYrJQ,1852,3.91,294
WIhrdYTVpkVmkW3Ltr-fVA,846,3.17,308
zEsLXEnIgforeXnQBPSiJA,764,4.17,305
ZN781RUz0MTepoRlzs_p7g,177,3.7,43
1vXJWH7L0IMEz5-8aU3SOA,825,4.07,6560
51OkoqcgNqwV_acBRAjyCw,9,4.4,213
E_GAXhVA1_lVC2aFpMQElA,4408,3.81,5328
WkUeDd9veQ2b1gM8OnfXmA,59,4.08,733
8qo_WtzUDkM7QisAhUM4Gw,167,4.42,121
ScV1Hq6wFEBupOhMOe5v-A,13,3.31,9
OKX-V5j_qfuOebeHeWGrHg,2482,3.49,1448
nxWrhF_hyX0wwjrEkQX8uQ,1400,4.2,5983
AkemJno18Y2mL_saED_Acg,16,3.38,14
P6qSP8O_4BrS68x8fX2PBA,14,4.2,99
f3gqp5VnDjgvccMQXpUqrA,7,3.43,77
a9ISSxBa0nPB2deRnY4PTQ,36,4.31,96
ACbU_-4vEsy5Ep6UOflOnA,6,4.33,284
1Ld1iXG22zPh1eq_l1qsWw,1,3,52
Vd6t_Vm0gbdzoNp36OzW4g,115,4,49
AoG7mVduUL7qQtjjFbtCOw,229,3.8,147
PdxaKVBuOsMNk-7XdCCUaQ,191,3.79,27
vNnQxBQEs-Eidok5Aneb9g,39,4.1,99
MH5KFsF6umz4vfw2WlbFAA,1,2,13
CY9iLsE2z_yLhLqJdD1WGw,1489,4.18,4211
w_1J5voxJRp8Y7y20S7smw,10,4.3,78
DwIetk5y9m6AypCjPux6RQ,233,4.24,818
WPT1WKUnwGXv7eyke4jU0g,3,4.67,104
2xxo_waXCawNTBhL1orsLg,5,4.2,1
HmheHK8tHRO6Ti-VXeOW9A,31,4.53,139
38YKg7dkx6sHDMsZrygA0A,11,4,32
v7KbljReh5vsuLR-HqLGmA,19,4.71,113
clk385ygJaFUtRIT2M7yTw,495,3.92,243
Q3rQAa56A6ZYRaXTpH_CEQ,141,3.72,236
oZllAvWwMMSAzsqzcn6pRQ,177,4.53,244
kDKH0fcQsquMKt-ErBQ97Q,111,4.28,1327
vD2lEG8e8yr2F9iQQRasVg,22,4.14,622
QFpf7262vAb2il5Xy7sZvw,61,4.08,255
6Jrx4sEzyYLz4XWAMVokgw,436,4.34,583
5XVepjCjvo95b-HZgoYi9Q,26,4.38,39
5elWfN7i1bisodU28Ojnrw,6,4.29,153
dhcd0-vjumNzq9F1aeK3uA,212,4.09,293
uNGpUVl1T5NaJBf5P4Il4w,340,3.88,269
jrMxBHW3SlUGVGYWvPsHWA,1553,3.31,5469
hbFxb8-y390p4T_V12BEjw,10,3.8,46
EpJ7t6PL6aEXvkvTiftjtw,128,3.9,99
1J_-IdrQwkMXQ4vnN2YMfA,3,2.33,144
pOD6jScJX9QyWutmjUtXIQ,5,2.33,1
om5ZiponkpRqUNa3pVPiRg,2811,3.97,5768
aXbE5xBGWhXqVRcrgknSXg,88,3.4,5205
QJI9OSEn6ujRCtrX06vs1w,1982,3.61,5840
arBTRp8Ay4nYh_OKCgxzLQ,19,3.75,2
e4PVK1kdwsmsP-Qa2q_QHQ,103,3.99,50
B7ecAeAIrXg7sgmabS38pg,2605,3.88,5776
Xlb-Hxrvkfyadnkmk5hrgw,467,4.14,346
_qb4WweWMYLA4fkaVlz7aA,81,4.3,450
WLM0BPbd_eyv044tCyXgRw,558,4.11,79
xf_vN-BJHNccH8iUhPu4yg,497,3.87,1860
XuiBAQi8lwPbHfKDgKWwEA,313,3.78,721
wcgCqmw7mx7cEg5jgrgnEA,592,3.43,140
9WFy3YGJUy5cCRMIrwyu6g,307,3.67,81
UUQCFcm05KQ-FNpp2Nnn3g,9,4.78,24
UMMNuWMS_-TJqCcIA8lzfw,309,4.04,58
yPSJqe4OApOUJ_gvdmhffw,63,4.03,41
htVXD_E-ylxQpkT57HSAhw,71,3.31,53
10ijDb1UdOSqMyAsLrgS9g,14,3.31,5
LdM39D6F_PoioDnCdGmUjg,157,4.29,122
fOKiJUKlx95N2RSPPtyr5A,529,4.48,168
_cUtxCvCccwgNJzD5I0cDA,1837,3.93,1975
TB_Ov1q6L_v8GjOmqm8MeA,454,3.76,782
lVUHvjdLvwnUKyspZJiFEw,63,3.91,475
YzBEP1zahYhJ1U-c_e2uRQ,157,4.29,438
dhMSQzqMigb5sx-Z-CPJNQ,299,3.74,1540
lByMP4tkeruOw5HdjtXTpQ,1620,4.02,589
a1Ot7NwAGJokS8uIjHd8fQ,29,3.97,7
OH03lHaTQnOx6shD5OZEJg,203,3.37,370
c75RjirUA_4wzl47TlZEJQ,285,3.29,204
VDlgRucqqqoSc3UDglEaLA,62,3.46,928
HdlwaDK_i2VSki8UnDARbg,105,3.8,2254
r926jFjQ-cqGDLaD63cu6A,387,3.57,471
pgftlWHkZdZCzA21fosd3Q,345,3.93,224
uI_GEh8WnhlW8kkbO1dZXA,235,4.22,565
QuZbJquRtbY9O9JrB9NpxQ,1732,3.63,1051
5MCBLBxr10NLUKZ4AboAMg,2775,4.02,7179
_9EIx0AMRspVvWds8PHsLw,739,3.96,491
Ur91BwZjjrgBDb3dACcDiQ,1022,3.92,849
_IYcSRC2O_3CsX_RVvs1Mw,309,3.43,107
dGND9DDQe5L6Lli2TolF1A,708,4.05,998
NyltIuiXtKMuqtVH85uyxQ,538,3.57,393
3HZKZ5EEkkPmc7baT6zcbw,570,3.92,1538
BF-NcYCbRsCfKUn4T5olLg,114,3.79,327
yIj3DxyTtNr9gV-g--9oqw,776,3.86,1390
toL_w_t9qUOCQjE6BuZmSQ,104,4.22,118
2vFUeQGnG8zdLSQkwfChog,413,3.03,4206
FokgHC5GuMddOY-E5Qco9g,982,3.69,1206
IcljXY0s2k555UCyPcm-hw,1,1,36
XtKwxbdNIHjEM3ajUoX9OQ,433,3.84,886
XOHtyTIc4sh3p3i-ZCnv1g,180,3.84,302
ucAN8VJoiA-_ysMCgZev1w,162,4.62,5662
g8j2ci2FcvmocszcO6ypNw,1615,3.92,1884
6vlB2FYf2dGVWte9cViVcg,240,3.92,188
3PLBcbyp8zQarwcI1SB7hA,118,4.08,87
eoSSJzdprj3jxXyi94vDXg,195,3.57,104
DAeC-Y66n-jNMJJw4oAfNQ,618,3.87,1420
9tOdB6wGNkD9txxfwJ3SUA,59,3.73,727
y8eBNwZy-bDxAlMxc2t7FQ,701,3.84,2780
bWvWVWDh59_CouuBuhtZ1g,69,4.35,2913
a9zlxd2AQ0gD6Ly-zW9WfA,222,3.62,216
wjClsIuhEjZN2OlkoFPKnQ,1248,3.9,891
x2kIaq8x6Q2I6uJxmVg4cA,714,4.08,810
M19NwFwAXKRZzt8koF11hQ,1357,3.72,898
WWnhqRnWWjutMqh-2SzEuQ,3960,4.23,4613
bdNPDTSk1abuB3S_74xu3A,770,3.74,524
UjAHXZHm9dJzbzK-h870Hg,217,3.93,333
hBicl52tMVsTecdZSVL-lQ,961,3.94,3662
kxA0vTDi1KABuA5Tgg1HKA,2154,3.64,1235
f9aRAxx7CfKs9C3wWGx1JQ,800,3.58,336
1ENBskBHIvWPaiF-wcZ8Ew,974,3.51,1464
kUXozMM-hvcSW87bM21RMw,553,3.97,1533
KYtrBL_Cp1CudlGC1XiiSA,1300,3.86,1060
VHdY6oG2JPVNjihWhOooAQ,2101,4.22,7342
nnImk681KaRqUVHlSfZjGQ,1107,3.96,4214
LCZSBQCIss8Aw3AXcdFSow,517,3.89,2924
sJtUomssClT750zFXODwZA,322,4.31,315
gokkWEFKps8211I68N_kzA,337,4.08,1242
pW9LvtC-hZ0PRAOUn7aZ2A,2215,3.53,926
SPzNpWfAfvhs_PQiXimujw,82,4.14,266
3rxKQ-_30q3l5Xe1elmUSQ,309,3.88,328
yrWJ4YZWvFj_NDOvTRaAqA,1642,3.79,694
TiPH2ZwSX53uK7IvFSHVYg,1028,3.55,1486
MGPQVLsODMm9ZtYQW-g_OA,1807,4.06,6139
22Zd2AYOwVhMIWvS-jwebA,197,3.3,45
hGeXKYWkqJgFC1u_Sh6kCg,1065,3.34,448
Z88N6qly3Dp5C06XbZ9IMQ,2388,3.83,1564
1kpMAKRZuAz3OzxBav3XTg,1196,3.88,3954
vsfG95vDU20d7upU1Zs6uA,478,3.71,692
TXrsfiSpIDoH06SyVDLZsg,210,3.99,121
uP8qLiZr5zH_5ziDL37S5A,644,4.32,410
Eva274V0UhvqY4owmBEu9w,865,4.04,1297
oPFh6vVMoEc5-6XEEGobeA,91,4.37,46
wl1qwaddnlJr2izuGbN5lQ,121,3.63,386
sxwVQcMZkiez3R_442GkAQ,491,3.85,1758
io7NI06ByR7JthVlS29YPA,175,4.23,535
y3Wtx1pOvTiqsJRkjceXiw,371,3.39,632
iEONL-v4W46yliYsovCP_g,947,3.65,805
TjBkQ6Qg57KexPurgbSTSw,61,3.83,302
To7EBxWC-Yz011V2-tdTvA,575,4.12,1117
YalRLFVGKqT9HVNu2oh9mw,420,3.75,520
T_mgl1kVZo6hXaSuX68-rg,9,4.5,13
e55WhY9mTe3Ns-A10wP3ig,124,3.88,23
RP48VuQYYnZkfRC7WYHYhw,19,3.09,2
4u8zZaT5m7nO1WazdKA2sw,2310,3.26,785
yd7BlMc7omvXnv-XdFLE9g,15,3.67,2
U2veQsQh8gzlIQrI6mhCtQ,44,4.19,2067
418F_vnEiJMlU-sKpGttHA,536,3.77,1974
TN0t-lM7Neeb_Fugeq0c-w,27,4.11,23
VeJxI6D5SMRuX8_0RYT1TQ,189,2.9,266
e6QRXwwzhebaLVX0JEztpg,579,3.58,1177
3y9KA46fe6XULOZSOC2tYA,240,4.25,624
CYr-lRWMpeJzSSsjwu1Iog,265,3.75,990
2oiPE2rww3Ofw09aishi2A,140,3.97,4599
OKZ0w2QuUqeoFBLNw0vpOw,219,3.45,1536
7NV6kcM2Mq5qY1drWD7LIg,1003,3.93,5320
HkhZ0IovT3dAOnhfh10CkQ,206,3.93,579
d67zTET_2IuVoWcUU0aWaQ,2241,4.04,1429
I-MPn5jRfB8-Zl__twxWdQ,341,3.39,207
9tQcWOcKW_TleO15J01bkQ,312,3.62,236
cufhYFdyrUAt4SWe-m0grQ,2422,3.75,6232
tvSYpwoPNj0o64iaJL-oQg,11,2.82,193
bnf7t21SCFw3HWfV_soG_Q,268,3.78,2979
UsXqCXRZwSCSw0AT7y1uBg,2919,3.97,7413
sVEhpRFyV7AbydDFHbsTag,57,3.53,142
Un9kXZRrhnfdhaW33OwLFg,1019,3.64,703
uOaZPDM0f7jl5F8jjnrn-w,9,4.56,32
5LJO77EH9wgIbOBXBJQeLw,238,3.37,145
UpMTSX253d01OPY-3-sjEw,408,3.85,484
u4df9jjhSsjnrz1wEqFjJg,475,3.53,443
RRMusskmV0NUSqEAmVnJSA,14,3.67,38
I0Rb_YnT0s7nzCn7ZNMEuQ,29,3.29,13
_pedtBuv41ZQ8yiNbmvEJA,35,3.53,16
UfSPX7ClzQoX015JTBnD0g,87,3.7,8
0b3FXt-EgiwMvS4scwBKeA,518,4,1957
kyclXVbx8Qpyt1Zq_inWxg,98,3.07,44
XTzwy9djAtln-K4gAYAvMg,58,3.73,44
S4pWgekigxUFRlfOSOWlMQ,32,4.13,112
hzmTQMkTGTUQ-aRdKAcUzA,1909,4.05,627
0ql-awhVLO50urRBZH74og,832,3.71,293
b-772SeWkPFG4AFXCTsJrg,286,4.23,932
f7pbQuon-3GbyNbzcNSQdQ,868,3.74,181
r3ov7FgibBx41_W74I1KiA,275,3.48,3509
zASeBKzUEqh3WAkeT121Vw,357,3.25,899
ytqI9hBiB17L2nUCYbuI5Q,528,3.75,142
IkRib6Xs91PPW7pon7VVig,128,3.96,825
3GiMheHTAzo85rBm0W_Yww,771,3.45,2293
K0vUK6Hg7_f3UDjJujjT_A,114,3.63,212
25NDlYy0wzjq7mh3IiCp0Q,526,3.92,940
zAMpV0uFt9XpqRDFNLWPrQ,563,4.36,142
qYV93MpUwn5a67ZFdOmz-Q,24,4.24,192
-9bbDysuiWeo2VShFJJtcw,472,4.01,1814
jt49xjEjQisu6wTTGn6B3A,1951,4.29,6311
Kr6FsyojizNc-tz9X--kyQ,203,3.91,77
77vChS-bKAkYnFT67iT0tg,203,3.93,357
IU86PZPgTDCFwJEuAg2j7g,2240,4.17,9217
Pq9HkRaVjx7L095fWHzpRw,144,3.83,76
zsIvunC1NALQe7zgpbrxcQ,321,3.93,72
5uiCy0vSIknuDEHc7yHRkw,316,3.62,240
C23d7XHx0_36Mr-i4Zuhcw,132,3.63,15
e6awMCpyP6y6tt-Orua2hQ,435,3.5,1083
KwIU9DBHSPeqW5MnMAwHxQ,461,3.68,85
_GstI1h8DjHZEUW9EPT85g,361,4.04,2017
MDsrQ8PtiYWkcGvlVqb8sw,558,3.69,162
LEGBfyFAi7wZYHJts7Zn1Q,45,3.93,70
8wKZ9gJYJtTdSVWgW7Or6Q,1052,3.77,1463
XG4kBSL9slrlyE77tA6n5Q,19,3.37,48
YORoJ6RecFVGcSwG8kR77w,256,3.35,56
Sxcew1iXrvQzG0jSG8cXkA,108,3.58,132
6IYHNjQbmjAlWi3U14EgzA,234,3.9,92
c3iQicwU9yLicR8GvO3CRQ,71,3.69,312
0c6IfeJFd0n03OIkhMrHFA,444,4.03,1105
2XuP-lUVBF09qPmCpZ8oQA,165,3.71,282
hlrv5tQ2jR3ICoZH5qlHpw,60,3.85,185
ZLdQ_FBhm6FXSqO6El2ikw,21,3.32,37
IKxF_YJkAxEMAJYnyxY2hg,22,3.57,68
Uf16fUw3ALg-xoe4yG16Pg,2,3.5,11
_Z01Jy8UkAjAP7fDV90N0w,21,3.54,26
To0GTLW5MGZwOg5TxxZIQA,1595,3.76,1998
Yej5B4nd8PqpHMQcmCTDrg,553,3.73,839
S2LY7zBZrh1khPCX6mZ7zA,1,3.5,8
NhC29IP61XcsOgYv9Eo7hg,72,3.8,37
zi8kjGjB4q0sBD8IWpAodw,14,4.21,15
rKnzAVrXdlxsX4_u4yeaNw,12,3.42,12
sd8qALNKQqaoYhYYbDWgfg,40,3.77,559
QmJrLdTLv1EfvmWj1EarmA,19,5,307
Fr-ZISqZLYP4Oh2dpFdZGw,367,3.9,412
icohzNbjta9sI1dWSOnBXw,5,4.4,3
Eu5Xi0B9pS3wixNguMcXTQ,10,3.9,4
JSaVmwYt0fZL821-ygDHLw,33,3.69,665
QHN6L4jYlm8hjChe8oC6dg,16,3.24,6
WyrrCOkp8MaVfj10UAOMFA,134,4.4,232
ZE7OuV8_BCt4_p46uKDv0A,350,3.45,472
PEOL3XEpv_e5h5l_8aYFvQ,7,5,610
IxGxKEGT4UjFUaC-0dnJLg,2,3,63
F4V9Tx_NQAtEi1otSiSnJg,11,3.36,192
gulmVu3Gkitl_aPHRASjgA,16,3.94,36
jBzITjfkC7M99oN6a5HErQ,678,3.62,373
3KmIyw0kD4nzVvYZam6ncg,24,4.5,156
q-Dx7QW4QzZCdqh7aL4spQ,12,4.08,842
d5PhrW7bYvzfTU_nQawt0g,27,3.74,1
IEio2AM8ey4L0N9jaHrSrQ,8,2.88,23
homuOe09xeXiTu-iBjDgRQ,11,3.91,89
3sOkMhhn5_Wre1dm18Smxw,34,3.97,142
T2tYM6iR_Z0CjEJ9ZMja_Q,4,4.5,41
qcrf-vt6_iySmejEnAkXpw,1,4,59
GZSb6m9zv_a5nRBPgMbelw,1,5,74
UJ21gE1ctJe6_nHqAYu8Yg,393,4.73,458
ljy0LOJj0hHinkuBhdj_KA,1,5,191
FMOfyLIsto_SnfTCpKy8XA,1,1,275
tNx5cK6Ch83GyVwXItzEUA,61,4.09,1194
eCofGtTcXo4Yi5y8e-9I4A,2,5,246
oVohybumtEwNI_fL60r0uA,102,4.42,100
kkPgJv6KBFN15caG7NYYlg,1355,3.78,291
YS1PcfsAWDFgVg1x0t0Q2w,1,5,236
qDTWKOCzi-NiwUz2Jeft7A,10,4.7,54
gsnUK0TqDoRHAyT38jtasw,18,4.47,175
RTXADAbalkNY9F7XnDrokQ,45,3.37,5
MRQL87mqMrLgLBNYE97ahg,141,4.2,93
XhFEDCtaJeoWBSW_sKae9A,192,3.72,128
QASqmFDB1pIBF7xSp1PVeg,436,3.53,167
1eqy55tfazEXqDvGq2LDFw,328,3.81,154
oDgFJv85M22F26LESCxAWA,524,3.76,760
DOj9NanlJP3xntULCy5Uow,615,4.03,6405
40KbF9FaBCm6TOIQkK1BDg,4,2.75,302
zgoXrRug00ayNOSjmtoK2g,40,3.43,148
LmnaRwoFIR-6H0M5k0mHEg,567,4.03,421
FLgDQVXb4vWsKA2QXwA-tw,8,3.75,84
uOHw5tt3OeFl1j481bpjVg,40,2.98,348
ACvkHx_O0G7e6b3SeQfxxg,180,2.93,141
YTaD-l_-jW8-Dl9kW0ArvQ,7,4.88,477
JSQrvnnkcowbmViaVfpP0A,214,3.63,91
BBdRlIK_eeFhdl4EL1pLAw,670,4.03,1396
-2WdHWRwPHZyIggNoHsP4g,13,4.62,850
rCx7tb3toOJUsvdOeqYY0g,1217,3.78,2922
gCPfqjzqyUxJAuz4StqV5Q,159,3.74,200
vFAnCq3JZbiY03Ex6Cla4A,20,4.14,31
nL6FP8Vu5MY5GXpg-dshqw,624,3.82,227
K8JChbIzE0_wXflpg04Xlw,1,5,210
lA8KNdcJBANypwe9X-3OiQ,32,4.17,1
9j48cmQKDgxxt6H0rNrlPA,10,4.1,466
qkRVFX4OrkZq0uDqb822tA,16,3.45,16
8667m6eRGVXpMwpIGAc1AA,35,3.73,7
HKsYGlrNP3vlWsYFvwsZxg,12,4.08,20
WR9eaa7MWA37VXJAcnZ64g,34,4.08,88
ycXDvH-nE4SbKOr5hyTVkQ,152,4.13,67
73Z1L0eG-5dyBGTKdfx1RA,243,3.56,127
Hh9NtRPvfnqxXLxZh4HjhA,2,3.5,4
S5gjc86AhOZPWcD0czN5IA,215,3.61,124
sOZfGLRjhcEjAKBLZKcJGg,143,3.95,405
Oi1qbcz2m2SnwUeztGYcnQ,1371,3.62,10072
lConjPFTZqz4zWELK_EJtw,2232,3.91,5995
XLizzHikqkM7fr8Jb9ERNg,8,3.11,92
PAsxRuHvHobYcc4j-_Ik8Q,3,3.67,12
vkb5kyt445MPHjbzjmMlgg,1,5,645
tHH0LXV6WZTn2kZTXHipKg,75,4.54,55
3C2XEMlIJUPKMKeEGICZXQ,9,3.67,572
u_fUOpvFRKz15rSjj_hpaQ,193,3.7,1588
gsbFF-wUHMG3CtFap2Q-2Q,131,3.01,142
ZQzkXzM3rbnNMSRX3l0oNA,86,4.25,1812
h4jHHfP24cWUCW35vhqfpA,94,4.26,974
e7qswoJFIolWdf1qX_P_oA,112,4.16,174
wXdbkFZsfDR7utJvbWElyA,3986,4.02,727
nZSm1q_cnWNDX9lpjE6mTw,148,4.03,317
BTbVjFi3-2QgpoIOI-AiGA,56,3.66,128
L_OK9Pd7yeTwsNj2LYu-nA,1,1,227
7E02t5at2GvOX0zqIdXm9A,4,1,677
f0fqCwb_QAJUPm-K95Mk2g,272,4.17,341
PHCCJlmczYnFPcJD7cFvMQ,15,4,63
RafILcbrP7w1H4yVXeCNHQ,5,2.71,192
cjotiAHFSbFuvbxTWmGi1Q,1598,3.39,6012
HYQoxBC1y1DGPq6pGP09Tw,1999,3.74,2540
Wb5Gs_FpWDYjrhn0luPd3A,1409,3.44,379
6xl9EVLg1MTwq4gw21e4Nw,631,3.73,1479
Qx-5FRNpL14H2TtIKmB1kA,1326,3.18,233
TEtzbpgA2BFBrC0y0sCbfw,1136,4.4,4336
d5Gv1XT3G86bU4QUsLtK2g,278,3.54,233
YUIURN8PjHoPCAOdb6L76A,641,3.83,212
HZ9ep6UdCW0TmTTAfjzYxg,741,3.71,192
p5eKzfGUZ7duXbDM0AM5bA,843,3.91,264
5DgFmyjW6hkBtXtTMKl4tA,711,3.69,763
60IVUw1Rfzz-IE7EiAoUEw,453,3.49,162
s85ov2JmELYoW2lwwmkVUg,885,3.53,860
YvNcqD6gc3X2nW4BRrNIpw,123,3.67,300
pOsSRzm0ZOXE9FcJ5pWxYg,844,3.94,1533
W8MlgzACF88yMeWNxQNiRw,572,3.5,86
aqWXHhcR_CdmKmxggFOlEA,1313,3.77,748
v3QDeKjl5-PgTG2eOa_qNA,179,3.74,198
RlXfOTtpgTfcisRmukrGbw,1775,3.98,998
DS0Idr2XDhz5e7ZfSy0dYA,1501,3.64,2429
JImdyO8S7Rui_yDwS5d4Rw,437,3.68,1264
KNkoLCrAUJ56wXJnzhNtiA,147,3.71,187
-4BEUkLvHQntN6qPfKJP2w,406,3.67,1664
JqrVuq8XcSI-VJF-T8HYJw,103,3.71,186
bUMstbN8JQPEtZTjGBfemw,37,4.11,16
LM6pxbcfdyUS8M2jWoQk1g,259,3.14,1046
E_XbFQ4hr4MYf9Ce7IiMsQ,481,3.36,205
CLKGEdkqwQT6oVJG_deC7g,335,4.09,445
Qh41cHDWsXBoXYiCn_g-Og,115,3.72,256
WslBIvrC1ezr4VAvPMEyMA,600,3.9,420
2qKOL7C7WbG_M3EOWvTFxA,1530,4.32,3686
X0wMyqc1W6_li35OQ3li-g,40,3.53,34
bNO1FClDFTETvWmpLzhutw,33,3.2,506
fbpjEkaALuGJo_dCYWPYRQ,1672,4.41,1824
Pl9GtHYreI_azuETHTpIKA,223,3.93,406
PUae25RpLHQyMYISMlulGg,196,4.24,330
t5R5SaCLxWNlMfeVv6bDhg,46,3.77,22
FtsCbK2w0rc-JA23O2yUXA,13,4.29,1069
xeR8gSH8nC1c4C9YG5OlmQ,13,2.21,606
uoFAheI8McDyXAdyz_D9mA,105,3.8,57
mrjNAGrU799uXKqQg6k4EA,9,3.67,12
lBXM4384gL8AAE6MfKw7pA,52,3.62,47
5FaBVm2NzNg6Mjt92YygWQ,59,3.83,13
N4FhWSvaebPX3HTT3LLCuA,12,3.75,111
YLuPAnCNVjKXXIHw2A6qeA,190,4.29,193
Ja3oPdxEUIn6-ngIF2Vatw,3,5,4
4x_cmm5qNwe_Cng8lSNBdA,2,4,283
2yXhgFhPoF_H-rJqWSPbxg,58,3.78,60
X7jbSd4lZZ4VjslbHewfTw,58,3.73,22
ijfxzX1up5MHHt-BdGrrYA,16,4.75,122
